"paID","waterBuffer","landQualityMin","qualitySurface","kernelScale","metricVariant","nonProtectedPenalty","factorOrder","nameEco","paPriority","paArea","priority","scnID"
4354,0,0,"Kennedy",5,"samcM20",0.5,449,"AtlanticMaritime",1,1036471105.72366,1,93
4354,0,0,"Venter",5,"samcM20",0.5,453,"AtlanticMaritime",1,1036471105.72366,1,94
4354,0,0,"Kennedy",20,"samcM20",0.5,465,"AtlanticMaritime",1,1036471105.72366,1,95
4354,0,0,"Venter",20,"samcM20",0.5,469,"AtlanticMaritime",1,1036471105.72366,1,96
4354,0,0,"Kennedy",2,"samcB2",0.5,481,"AtlanticMaritime",1,1036471105.72366,1,97
4354,0,0,"Venter",2,"samcB2",0.5,485,"AtlanticMaritime",1,1036471105.72366,1,98
4354,0,0,"Kennedy",5,"samcB2",0.5,489,"AtlanticMaritime",1,1036471105.72366,1,99
4354,0,0,"Venter",5,"samcB2",0.5,493,"AtlanticMaritime",1,1036471105.72366,1,100
4354,0,0,"Kennedy",20,"samcB2",0.5,505,"AtlanticMaritime",1,1036471105.72366,1,101
4354,0,0,"Venter",20,"samcB2",0.5,509,"AtlanticMaritime",1,1036471105.72366,1,102
4354,0,0,"Kennedy",2,"samcB20",0.5,521,"AtlanticMaritime",1,1036471105.72366,1,103
4354,0,0,"Venter",2,"samcB20",0.5,525,"AtlanticMaritime",1,1036471105.72366,1,104
4354,0,0,"Kennedy",5,"samcB20",0.5,529,"AtlanticMaritime",1,1036471105.72366,1,105
4354,0,0,"Venter",5,"samcB20",0.5,533,"AtlanticMaritime",1,1036471105.72366,1,106
4354,0,0,"Kennedy",20,"samcB20",0.5,545,"AtlanticMaritime",1,1036471105.72366,1,107
4354,0,0,"Venter",20,"samcB20",0.5,549,"AtlanticMaritime",1,1036471105.72366,1,108
4354,1,0,"Kennedy",2,"exponential",1,2,"AtlanticMaritime",1,1036471105.72366,2,109
4354,1,100,"Kennedy",2,"exponential",1,4,"AtlanticMaritime",1,1036471105.72366,2,110
4354,1,0,"Venter",2,"exponential",1,6,"AtlanticMaritime",1,1036471105.72366,2,111
4354,1,100,"Venter",2,"exponential",1,8,"AtlanticMaritime",1,1036471105.72366,2,112
4354,1,0,"Kennedy",5,"exponential",1,10,"AtlanticMaritime",1,1036471105.72366,2,113
4354,1,100,"Kennedy",5,"exponential",1,12,"AtlanticMaritime",1,1036471105.72366,2,114
4354,1,0,"Venter",5,"exponential",1,14,"AtlanticMaritime",1,1036471105.72366,2,115
4354,1,100,"Venter",5,"exponential",1,16,"AtlanticMaritime",1,1036471105.72366,2,116
4354,1,0,"Kennedy",20,"exponential",1,26,"AtlanticMaritime",1,1036471105.72366,2,117
4354,1,100,"Kennedy",20,"exponential",1,28,"AtlanticMaritime",1,1036471105.72366,2,118
4354,1,0,"Venter",20,"exponential",1,30,"AtlanticMaritime",1,1036471105.72366,2,119
4354,1,100,"Venter",20,"exponential",1,32,"AtlanticMaritime",1,1036471105.72366,2,120
4354,1,0,"Kennedy",2,"uniform",1,42,"AtlanticMaritime",1,1036471105.72366,2,121
4354,1,100,"Kennedy",2,"uniform",1,44,"AtlanticMaritime",1,1036471105.72366,2,122
4354,1,0,"Venter",2,"uniform",1,46,"AtlanticMaritime",1,1036471105.72366,2,123
4354,1,100,"Venter",2,"uniform",1,48,"AtlanticMaritime",1,1036471105.72366,2,124
4354,1,0,"Kennedy",5,"uniform",1,50,"AtlanticMaritime",1,1036471105.72366,2,125
4354,1,100,"Kennedy",5,"uniform",1,52,"AtlanticMaritime",1,1036471105.72366,2,126
4354,1,0,"Venter",5,"uniform",1,54,"AtlanticMaritime",1,1036471105.72366,2,127
